Respondent_code,Business_Category_(Asset):,Industry Type:,NoOfOperationDays,DailyUsageKW,Cooling&VentilationUsage,Entertainment&AudioEquipmentUsage,Industrial&ManufacturingEquipmentUsage,KitchenEquipmentUsage,Lightning&ElectricalFixtureUsage,Office&ITEquipmentUsage,OtherUsages,Refrigerator&StorageUsage,MonthlyUsageKW_Eqpt,EnergyIntensity,Number_of_Operation_hours,EnergyIntensityBand,UsageRangeBand,HourlyUsageKW,Recommended PV Setup
28,Micro,Retail,7,1.625,0,0,0,1.05,0.375,0,0.0125,0.1875,48.75,0.535714286,13,Lowest,Very Low,1.1,1 kW
41,Micro,Retail,7,1.625,0,0,0,1.05,0.375,0,0.0125,0.1875,48.75,0.49744898,14,Lowest,Very Low,1.1,1 kW
84,Micro,Retail,7,1.625,0,0,0,1.05,0.375,0,0.0125,0.1875,48.75,0.696428571,10,Lowest,Very Low,1.1,1 kW
31,Micro,Retail,6,1.7,0.4375,0,0,0.025,0.0125,0,0,1.225,43.71428571,0.80952381,9,Lowest,Very Low,0.55,1 kW
34,Micro,Retail,6,1.7,0.4375,0,0,0.025,0.0125,0,0,1.225,43.71428571,0.80952381,9,Lowest,Very Low,0.55,1 kW
70,Micro,Retail,6,1.7,0.4375,0,0,0.025,0.0125,0,0,1.225,43.71428571,0.80952381,9,Lowest,Very Low,0.55,1 kW
18,Micro,Food and beverages,7,1.8,0,0,0,0,1.125,0,0,0.675,54,3.857142857,2,Lowest,Very Low,0.2,1 kW
25,Micro,Food and beverages,7,1.8,0,0,0,0,1.125,0,0,0.675,54,1.102040816,7,Lowest,Very Low,0.2,1 kW
76,Micro,Food and beverages,7,1.8,0,0,0,0,1.125,0,0,0.675,54,0.701298701,11,Lowest,Very Low,0.2,1 kW
111,Medium,Food and beverages,6,1.8125,0.0375,0.325,0.1625,0.0375,0.0875,0.0375,0,1.125,46.60714286,0.863095238,9,Lowest,Very Low,0.3,1 kW
117,Small,Services,6,1.9625,0.0125,0,0,1.05,0.375,0,0,0.525,50.46428571,0.93452381,9,Lowest,Very Low,1.325,1 kW
22,Micro,Retail,7,2.275,0.2625,0.4375,0,0,0.2625,0.4375,0,0.875,68.25,0.696428571,14,Lowest,Very Low,0.65,1 kW
3,Micro,Retail,7,2.275,0.2625,0.4375,0,0,0.2625,0.4375,0,0.875,68.25,0.696428571,14,Lowest,Very Low,0.65,1 kW
