Respondent_code,Business_Category,Industry Type,NoOfOperationDays,Number_of_Operation_hours,MonthlyUsageKW_Eqpt,Business_Operation_(Day)],Mon,DailyUsageKW],Tue,Wed,Thu,Fri,Sat,Sun
95,Micro,Services,7,9,177.375,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",5.9125,5.9125,5.9125,5.9125,5.9125,5.9125,5.9125,5.9125
96,Micro,Retail,7,9,2110.5,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",70.35,70.35,70.35,70.35,70.35,70.35,70.35,70.35
97,Micro,Services,7,15,177.375,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",5.9125,5.9125,5.9125,5.9125,5.9125,5.9125,5.9125,5.9125
99,Micro,Retail,7,15,391.125,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",13.0375,13.0375,13.0375,13.0375,13.0375,13.0375,13.0375,13.0375
100,Micro,Retail,7,14,542.625,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",18.0875,18.0875,18.0875,18.0875,18.0875,18.0875,18.0875,18.0875
102,Micro,Food and beverages,7,5,7.875,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625
104,Micro,Retail,7,9,75.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",2.525,2.525,2.525,2.525,2.525,2.525,2.525,2.525
109,Micro,Food and beverages,7,5,73.5,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45
112,Micro,Food and beverages,7,5,7.875,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625
115,Micro,Food and beverages,7,5,7.875,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625
116,Micro,Retail,7,15,542.625,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",18.0875,18.0875,18.0875,18.0875,18.0875,18.0875,18.0875,18.0875
118,Micro,Retail,7,9,75.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",2.525,2.525,2.525,2.525,2.525,2.525,2.525,2.525
119,Micro,Services,7,11,1267.5,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",42.25,42.25,42.25,42.25,42.25,42.25,42.25,42.25
120,Micro,Retail,7,15,12,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
121,Micro,Retail,7,14,27,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
