Respondent_code,Business_Category_(Asset):,Industry Type:,NoOfOperationDays,DailyUsageKW,Cooling&VentilationUsage,Entertainment&AudioEquipmentUsage,Industrial&ManufacturingEquipmentUsage,KitchenEquipmentUsage,Lightning&ElectricalFixtureUsage,Office&ITEquipmentUsage,OtherUsages,Refrigerator&StorageUsage,MonthlyUsageKW_Eqpt,EnergyIntensity,Number_of_Operation_hours,EnergyIntensityBand,UsageRangeBand,HourlyUsageKW
92,Micro,Retail,7,13.0375,1.625,0,0,0,0.175,0.4375,0,10.8,391.125,4.298076923,13,Lowest,Very Low,1.625
93,Micro,Rental,7,27.1875,5.625,0.0625,0,0,5.625,0.125,0,15.75,815.625,29.12946429,4,Moderate,Very Low,3.375
96,Micro,Retail,7,70.35,3.6,2.625,0,3,39,0.525,0,21.6,2110.5,33.5,9,Moderate,Very Low,17.9
99,Micro,Retail,7,13.0375,1.625,0,0,0,0.175,0.4375,0,10.8,391.125,3.725,15,Lowest,Very Low,1.625
100,Micro,Retail,7,18.0875,1.625,0.525,0,0,1.625,0.8125,0,13.5,542.625,5.536989796,14,Lowest,Very Low,2.475
101,Micro,Food and beverages,5,0.775,0.0375,0,0,0.175,0.0375,0,0,0.525,16.60714286,0.369047619,9,Lowest,Very Low,0.75
102,Micro,Food and beverages,7,0.2625,0,0,0,0.0875,0.175,0,0,0,7.875,0.225,5,Lowest,Very Low,0.075
104,Micro,Retail,7,2.525,1.625,0,0,0,0.0875,0.8125,0,0,75.75,1.202380952,9,Lowest,Very Low,0.4
106,Micro,Retail,6,22.375,0.4375,0,0,0,0.325,0.0125,0,21.6,575.3571429,10.6547619,9,Lowest,Very Low,2.6
109,Micro,Food and beverages,7,2.45,0,0,0,0,2.45,0,0,0,73.5,2.1,5,Lowest,Very Low,0.7
112,Micro,Food and beverages,7,0.2625,0,0,0,0.0875,0.175,0,0,0,7.875,0.225,5,Lowest,Very Low,0.075
113,Micro,Retail,6,0.0375,0,0,0,0,0.0375,0,0,0,0.964285714,0.01461039,11,Lowest,Very Low,0.025
115,Micro,Food and beverages,7,0.2625,0,0,0,0.0875,0.175,0,0,0,7.875,0.225,5,Lowest,Very Low,0.075
116,Micro,Retail,7,18.0875,1.625,0.525,0,0,1.625,0.8125,0,13.5,542.625,5.167857143,15,Lowest,Very Low,2.475
118,Micro,Retail,7,2.525,1.625,0,0,0,0.0875,0.8125,0,0,75.75,1.202380952,9,Lowest,Very Low,0.4
119,Micro,Services,7,42.25,9.75,0.1625,0,23.4,0.325,0.8125,0,7.8,1267.5,16.46103896,11,Lowest,Very Low,6.5
120,Micro,Retail,7,0.4,0,0,0,0.375,0.025,0,0,0,12,0.114285714,15,Lowest,Very Low,0.3
121,Micro,Retail,7,0.9,0.8125,0,0,0,0.0875,0,0,0,27,0.275510204,14,Lowest,Very Low,0.15
124,Micro,Retail,7,5.9625,0.8125,0,0,0,0.0875,0.1875,0,4.875,178.875,1.965659341,13,Lowest,Very Low,1.025
126,Micro,Services,6,15.95,4.875,0.1875,0,0,1.625,9.1,0,0.1625,410.1428571,7.595238095,9,Lowest,Very Low,2.55
127,Micro,Services,7,1.125,0.1875,0,0,0.1875,0.375,0.1875,0,0.1875,33.75,1.205357143,4,Lowest,Very Low,0.75
129,Micro,Retail,7,18.0875,1.625,0.525,0,0,1.625,0.8125,0,13.5,542.625,77.51785714,1,Highest,Very Low,2.475
1,Micro,Retail,7,13.0375,1.625,0,0,0,0.175,0.4375,0,10.8,391.125,4.298076923,13,Lowest,Very Low,1.625
3,Micro,Retail,7,2.275,0.2625,0.4375,0,0,0.2625,0.4375,0,0.875,68.25,0.696428571,14,Lowest,Very Low,0.65
49,Micro,Retail,7,11.4625,0.4375,0,0,0,0.0375,0.1875,0,10.8,343.875,3.275,15,Lowest,Very Low,1.475
57,Micro,Food and beverages,5,0.775,0.0375,0,0,0.175,0.0375,0,0,0.525,16.60714286,0.369047619,9,Lowest,Very Low,0.75
75,Micro,Food and beverages,5,0.775,0.0375,0,0,0.175,0.0375,0,0,0.525,16.60714286,0.369047619,9,Lowest,Very Low,0.75
81,Micro,Retail,7,2.275,0.2625,0.4375,0,0,0.2625,0.4375,0,0.875,68.25,0.696428571,14,Lowest,Very Low,0.65
13,Small,Retail,6,45.225,43.2,0,0,1.125,0.675,0.225,0,0,1162.928571,21.53571429,9,Moderate,Very Low,5.025
72,Small,Services,7,73.5875,4.875,7.875,0,4.0625,24.375,0,0,32.4,2207.625,35.04166667,9,Moderate,Very Low,10.975
82,Small,Food and beverages,5,0,0,0,0,0,0,0,0,0,0,0,9,Lowest,Very Low,0
83,Small,Food and beverages,7,9.9,0.1875,0.1625,0,1.625,4.55,0,0,3.375,297,4.242857143,10,Lowest,Very Low,1.475
85,Small,Hotel and restaurant,7,7.2375,0.8125,0,0,0.175,0.4375,1.3125,0,4.5,217.125,1.723214286,18,Lowest,Very Low,1.175
94,Small,Food and beverages,7,0.6125,0.0375,0,0,0.0125,0.375,0,0,0.1875,18.375,0.175,15,Lowest,Very Low,0.425
105,Medium,Food and beverages,6,7.35,3.675,0,0,0,3.675,0,0,0,189,2.625,12,Lowest,Very Low,2.1
117,Small,Services,6,1.9625,0.0125,0,0,1.05,0.375,0,0,0.525,50.46428571,0.93452381,9,Lowest,Very Low,1.325
10,Micro,Food and beverages,6,0.225,0.0375,0.0375,0,0.0375,0.0375,0.0375,0,0.0375,5.785714286,0.120535714,8,Lowest,Very Low,0.2
19,Micro,Food and beverages,6,0.225,0.0375,0.0375,0,0.0375,0.0375,0.0375,0,0.0375,5.785714286,0.107142857,9,Lowest,Very Low,0.2
24,Micro,Services,6,0.025,0,0,0,0,0,0,0,0.025,0.642857143,0.011904762,9,Lowest,Very Low,0.45
64,Micro,Services,6,0.025,0,0,0,0,0,0,0,0.025,0.642857143,0.011904762,9,Lowest,Very Low,0.45
107,Micro,Services,6,0.025,0,0,0,0,0,0,0,0.025,0.642857143,0.015306122,7,Lowest,Very Low,0.45
2,Micro,Retail,7,44.525,2.4375,0.1625,39,0,0.4875,1.625,0,0.8125,1335.75,21.20238095,9,Moderate,Very Low,6.85
